iter	Passed	Remaining
0	0	36
1	0	34
2	1	33
3	1	31
4	1	31
5	2	31
6	2	30
7	2	30
8	3	30
9	3	30
10	3	29
11	4	29
12	4	29
13	4	28
14	5	28
15	5	27
16	5	27
17	5	27
18	6	26
19	6	26
20	6	26
21	7	25
22	7	25
23	7	24
24	8	24
25	8	24
26	8	23
27	9	23
28	9	23
29	9	23
30	10	22
31	10	22
32	10	21
33	11	21
34	11	21
35	11	20
36	12	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	17	15
53	17	15
54	17	14
55	18	14
56	18	13
57	18	13
58	19	13
59	19	12
60	19	12
61	20	12
62	20	12
63	20	11
64	21	11
65	21	11
66	21	10
67	21	10
68	22	10
69	22	9
70	23	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	25	6
79	26	6
80	26	6
81	26	5
82	27	5
83	27	5
84	27	4
85	28	4
86	28	4
87	29	3
88	29	3
89	29	3
90	30	2
91	30	2
92	30	2
93	31	1
94	31	1
95	31	1
96	32	0
97	32	0
98	32	0
99	33	0
