iter	Passed	Remaining
0	59	59442
1	59	29887
2	60	20037
3	60	15097
4	60	12131
5	61	10155
6	61	8745
7	62	7689
8	62	6864
9	62	6205
10	63	5668
11	63	5219
12	63	4838
13	64	4513
14	64	4232
15	64	3986
16	65	3773
17	65	3580
18	65	3405
19	66	3249
20	66	3106
21	66	2976
22	67	2858
23	67	2750
24	67	2651
25	68	2560
26	68	2474
27	69	2395
28	69	2320
29	69	2252
30	69	2187
31	70	2128
32	70	2072
33	71	2019
34	71	1968
35	71	1921
36	72	1875
37	72	1833
38	72	1792
39	73	1755
40	73	1718
41	73	1684
42	74	1651
43	74	1619
44	74	1588
45	75	1559
46	75	1533
47	75	1506
48	76	1481
49	76	1457
50	77	1433
51	77	1410
52	77	1388
53	78	1367
54	78	1346
55	78	1326
56	79	1308
57	79	1289
58	79	1272
59	80	1254
60	80	1238
61	80	1222
62	81	1207
63	81	1191
64	81	1177
65	82	1163
66	82	1150
67	82	1136
68	83	1124
69	83	1112
70	84	1100
71	84	1088
72	84	1077
73	85	1065
74	85	1055
75	85	1044
76	86	1033
77	86	1023
78	86	1013
79	87	1003
80	87	994
81	87	985
82	88	973
83	88	964
84	88	956
85	89	948
86	89	940
87	89	932
88	90	924
89	90	917
90	91	910
91	91	902
92	91	895
93	92	888
94	92	880
95	92	874
96	93	867
97	93	860
98	93	853
99	94	846
100	94	840
101	94	834
102	95	828
103	95	822
104	95	817
105	96	811
106	96	805
107	96	799
108	97	794
109	97	789
110	97	784
111	98	779
112	98	773
113	98	768
114	99	763
115	99	758
116	99	753
117	100	748
118	100	743
119	100	739
120	101	735
121	101	730
122	101	726
123	102	722
124	102	718
125	103	714
126	103	709
127	103	706
128	104	702
129	104	698
130	104	694
131	105	690
132	105	687
133	105	683
134	106	680
135	106	676
136	106	672
137	107	669
138	107	666
139	107	662
140	108	659
141	108	655
142	108	652
143	109	648
144	109	645
145	109	642
146	110	638
147	110	635
148	110	632
149	111	629
150	111	626
151	111	624
152	112	621
153	112	618
154	112	615
155	113	613
156	113	610
157	113	607
158	114	604
159	114	601
160	114	598
161	115	595
162	115	592
163	115	590
164	116	587
165	116	585
166	116	582
167	117	579
168	117	577
169	117	575
170	118	572
171	118	570
172	118	568
173	119	565
174	119	563
175	119	561
176	120	558
177	120	556
178	120	554
179	121	552
180	121	550
181	121	548
182	122	546
183	122	544
184	123	542
185	123	540
186	123	538
187	124	536
